Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2025.11.19 12:00:00;Buy;0.08;XAUUSD;4113.75;0.08;2025.11.19 15:10:52;4105.84;-0.56;;-63.28
2025.11.19 08:00:00;Buy;0.04;XAUUSD;4095.21;0.04;2025.11.19 09:07:42;4087.73;-0.28;;-29.92
2025.11.18 04:00:00;Sell;0.02;XAUUSD;4024.54;0.02;2025.11.18 04:11:03;4032.42;-0.14;;-15.76
2025.11.18 02:00:00;Sell;0.02;XAUUSD;4037.07;0.02;2025.11.18 02:23:20;4027.57;-0.14;;19
2025.11.17 21:00:00;Sell;0.02;XAUUSD;4062.42;0.02;2025.11.17 21:32:08;4052.98;-0.14;;18.88
2025.11.17 18:00:00;Sell;0.16;XAUUSD;4064.03;0.16;2025.11.17 18:08:02;4054.56;-1.12;;151.52
2025.11.17 16:00:00;Sell;0.08;XAUUSD;4063.09;0.08;2025.11.17 16:11:10;4071.99;-0.56;;-71.2
2025.11.17 13:00:00;Sell;0.04;XAUUSD;4070.32;0.04;2025.11.17 13:36:42;4077.93;-0.28;;-30.44
2025.11.16 19:16:15;Balance;;;;;;;;;1
2025.11.16 18:30:01;Balance;;;;;;;;;-1
2025.11.16 18:11:41;Balance;;;;;;;;;-1
2025.11.14 14:00:00;Sell;0.02;XAUUSD;4132.89;0.02;2025.11.14 14:08:45;4140.47;-0.14;;-15.16
2025.11.13 21:00:00;Sell;0.02;XAUUSD;4157.83;0.02;2025.11.13 21:02:17;4148.05;-0.14;;19.56
2025.11.12 18:00:00;Buy;0.04;XAUUSD;4181.85;0.04;2025.11.12 18:31:31;4190.73;-0.28;;35.52
2025.11.12 02:00:00;Buy;0.02;XAUUSD;4142.56;0.02;2025.11.12 02:57:34;4135;-0.14;;-15.12
2025.11.10 03:00:00;Buy;0.04;XAUUSD;4020.37;0.04;2025.11.10 03:16:15;4029.9;-0.28;;38.12
2025.11.06 16:00:00;Buy;0.02;XAUUSD;4012.32;0.02;2025.11.06 16:18:24;4004.06;-0.14;;-16.52
2025.11.06 09:00:00;Buy;0.02;XAUUSD;3991.68;0.02;2025.11.06 09:19:52;4001.11;-0.14;;18.86
2025.11.04 20:00:00;Sell;0.02;XAUUSD;3954.89;0.02;2025.11.04 20:32:40;3944.51;-0.14;;20.76
2025.11.04 16:00:00;Sell;0.08;XAUUSD;3975.04;0.08;2025.11.04 16:05:44;3965.41;-0.56;;77.04
2025.11.04 08:00:00;Sell;0.04;XAUUSD;3973.19;0.04;2025.11.04 08:42:06;3980.79;-0.28;;-30.4
2025.11.03 03:00:00;Sell;0.02;XAUUSD;3970.88;0.02;2025.11.03 03:06:16;3978.53;-0.14;;-15.3
2025.10.30 22:00:00;Buy;0.04;XAUUSD;4016.61;0.04;2025.10.30 23:02:45;4026.54;-0.28;;39.72
2025.10.30 06:00:00;Sell;0.02;XAUUSD;3922.21;0.02;2025.10.30 06:19:50;3929.89;-0.14;;-15.36
2025.10.29 12:00:00;Buy;0.08;XAUUSD;4016.84;0.08;2025.10.29 12:48:50;4026.28;-0.56;;75.52
2025.10.29 02:00:00;Sell;0.04;XAUUSD;3934.52;0.04;2025.10.29 02:04:58;3942.17;-0.28;;-30.6
2025.10.28 06:00:00;Sell;0.02;XAUUSD;3983.89;0.02;2025.10.28 06:25:14;3991.24;-0.14;;-14.7
2025.10.27 17:00:00;Sell;0.02;XAUUSD;4022.55;0.02;2025.10.27 17:03:02;4012.69;-0.14;;19.72
2025.10.27 12:00:00;Sell;0.04;XAUUSD;4043.23;0.04;2025.10.27 12:10:37;4033.53;-0.28;;38.8
2025.10.27 03:00:00;Sell;0.02;XAUUSD;4065.2;0.02;2025.10.27 03:08:16;4072.14;-0.14;;-13.88
2025.10.24 11:00:00;Sell;0.04;XAUUSD;4073.85;0.04;2025.10.24 11:04:44;4065.05;-0.28;;35.2
2025.10.22 12:00:00;Sell;0.02;XAUUSD;4070.75;0.02;2025.10.22 12:00:19;4078.5;-0.14;;-15.5
2025.10.21 13:00:00;Sell;0.02;XAUUSD;4265.63;0.02;2025.10.21 13:12:21;4256.07;-0.14;;19.12
2025.10.20 18:00:00;Buy;0.32;XAUUSD;4332.77;0.32;2025.10.20 18:06:21;4342.01;-2.24;;295.68
2025.10.20 16:00:00;Buy;0.16;XAUUSD;4325.01;0.16;2025.10.20 16:04:09;4316.05;-1.12;;-143.36
2025.10.17 18:00:00;Sell;0.08;XAUUSD;4249.77;0.08;2025.10.17 18:01:18;4256.98;-0.56;;-57.68
2025.10.16 11:00:00;Buy;0.04;XAUUSD;4230.79;0.04;2025.10.16 12:29:31;4223.17;-0.28;;-30.48
2025.10.15 20:00:00;Buy;0.02;XAUUSD;4198.89;0.02;2025.10.15 20:11:24;4191.34;-0.14;;-15.1
2025.10.15 02:00:00;Buy;0.08;XAUUSD;4158.76;0.08;2025.10.15 03:11:58;4167.52;-0.56;;70.08
2025.10.14 21:00:00;Buy;0.04;XAUUSD;4148.24;0.04;2025.10.14 22:36:34;4140.24;-0.28;;-32
2025.10.14 12:00:00;Buy;0.02;XAUUSD;4144.14;0.02;2025.10.14 12:09:14;4136.48;-0.14;;-15.32
2025.10.13 02:00:00;Buy;0.02;XAUUSD;4042.58;0.02;2025.10.13 02:06:35;4052.01;-0.14;;18.86
2025.10.10 07:00:00;Sell;0.04;XAUUSD;3961.95;0.04;2025.10.10 07:13:25;3952.52;-0.28;;37.72
2025.10.10 05:00:00;Sell;0.02;XAUUSD;3973.4;0.02;2025.10.10 05:14:14;3981.02;-0.14;;-15.24
2025.10.09 20:00:00;Sell;0.04;XAUUSD;3969.3;0.04;2025.10.09 20:12:51;3959.88;-0.28;;37.68
2025.10.09 16:00:00;Buy;0.02;XAUUSD;4053.76;0.02;2025.10.09 16:36:25;4045.72;-0.14;;-16.08
2025.10.07 21:00:00;Buy;0.02;XAUUSD;3980.79;0.02;2025.10.08 01:16:30;3990.31;-0.14;-1.11;19.04
2025.10.07 15:00:00;Buy;0.02;XAUUSD;3966.82;0.02;2025.10.07 15:52:23;3976.31;-0.14;;18.98
2025.10.03 22:00:00;Buy;0.04;XAUUSD;3886.22;0.04;2025.10.06 01:51:11;3895.79;-0.28;-2.18;38.28
2025.10.03 17:00:00;Buy;0.02;XAUUSD;3885.96;0.02;2025.10.03 17:08:22;3878.54;-0.14;;-14.84
2025.10.02 18:00:00;Sell;0.02;XAUUSD;3840.01;0.02;2025.10.02 18:16:53;3830.49;-0.14;;19.04
2025.10.02 13:00:00;Buy;0.02;XAUUSD;3879.27;0.02;2025.10.02 15:05:45;3888.77;-0.14;;19
2025.10.01 11:00:00;Buy;0.16;XAUUSD;3879.52;0.16;2025.10.01 11:12:27;3888.82;-1.12;;148.8
2025.10.01 08:00:00;Buy;0.08;XAUUSD;3865.04;0.08;2025.10.01 09:18:13;3857.36;-0.56;;-61.44
2025.09.30 18:00:00;Buy;0.04;XAUUSD;3853.82;0.04;2025.09.30 18:02:58;3846.52;-0.28;;-29.2
2025.09.30 13:00:00;Sell;0.02;XAUUSD;3798.32;0.02;2025.09.30 13:06:39;3806.34;-0.14;;-16.04
2025.09.29 17:00:00;Buy;0.02;XAUUSD;3821.27;0.02;2025.09.29 18:04:22;3830.88;-0.14;;19.22
2025.09.29 06:00:00;Buy;0.04;XAUUSD;3792.95;0.04;2025.09.29 07:34:10;3802.3;-0.28;;37.4
2025.09.29 04:00:00;Buy;0.02;XAUUSD;3787.43;0.02;2025.09.29 04:07:00;3779.36;-0.14;;-16.14
2025.09.26 17:00:00;Buy;0.04;XAUUSD;3761.91;0.04;2025.09.26 17:08:31;3771.48;-0.28;;38.28
2025.09.25 18:00:00;Sell;0.02;XAUUSD;3731.67;0.02;2025.09.25 19:07:56;3739.32;-0.14;;-15.3
2025.09.24 19:00:00;Sell;0.04;XAUUSD;3741.11;0.04;2025.09.24 21:04:48;3731.57;-0.28;;38.16
2025.09.24 09:00:00;Buy;0.02;XAUUSD;3774.96;0.02;2025.09.24 11:49:26;3767.42;-0.14;;-15.08
2025.09.19 19:00:00;Buy;0.04;XAUUSD;3670.79;0.04;2025.09.19 21:13:38;3680.24;-0.28;;37.8
2025.09.18 17:00:00;Sell;0.02;XAUUSD;3641.97;0.02;2025.09.19 04:08:43;3649.79;-0.14;0.59;-15.64
2025.09.18 09:00:00;Sell;0.08;XAUUSD;3651.65;0.08;2025.09.18 09:05:23;3641.93;-0.56;;77.76
2025.09.17 22:00:00;Sell;0.04;XAUUSD;3651.09;0.04;2025.09.17 22:03:08;3658.34;-0.28;;-29
2025.09.17 11:00:00;Sell;0.02;XAUUSD;3667.07;0.02;2025.09.17 15:42:11;3674.7;-0.14;;-15.26
2025.09.16 17:00:00;Buy;0.01;XAUUSD;3695.57;0.01;2025.09.16 17:45:32;3687.97;-0.08;;-7.6
2025.09.15 17:00:00;Buy;0.02;XAUUSD;3657.43;0.02;2025.09.15 18:25:36;3666.75;-0.14;;18.64
2025.09.15 04:00:00;Sell;0.01;XAUUSD;3633.85;0.01;2025.09.15 05:14:48;3640.96;-0.08;;-7.11
2025.09.12 05:00:00;Buy;0.01;XAUUSD;3646.54;0.01;2025.09.12 07:49:39;3655.93;-0.08;;9.39
2025.09.11 08:00:00;Sell;0.02;XAUUSD;3630.69;0.02;2025.09.11 12:11:10;3621.39;-0.14;;18.6
2025.09.10 13:00:00;Buy;0.01;XAUUSD;3655.19;0.01;2025.09.10 15:15:25;3647.47;-0.08;;-7.72
2025.09.08 09:00:00;Buy;0.02;XAUUSD;3591.42;0.02;2025.09.08 10:10:15;3600.91;-0.14;;18.98
2025.09.05 16:00:00;Buy;0.01;XAUUSD;3581.26;0.01;2025.09.05 16:07:39;3573.48;-0.08;;-7.78
2025.09.02 18:00:00;Buy;0.02;XAUUSD;3511.26;0.02;2025.09.02 19:00:01;3520.89;-0.14;;19.26
2025.09.02 15:00:00;Buy;0.01;XAUUSD;3489.9;0.01;2025.09.02 15:25:45;3482.4;-0.08;;-7.5
2025.08.29 16:00:00;Buy;0.01;XAUUSD;3416.91;0.01;2025.08.29 16:42:30;3426.31;-0.08;;9.4
2025.08.28 17:00:00;Buy;0.01;XAUUSD;3407.54;0.01;2025.08.28 19:31:20;3416.92;-0.08;;9.38
2025.08.28 12:00:00;Buy;0.16;XAUUSD;3400.88;0.16;2025.08.28 16:55:19;3410.23;-1.12;;149.6
2025.08.27 20:00:00;Buy;0.08;XAUUSD;3395.64;0.08;2025.08.28 04:22:03;3388.26;-0.56;-12.67;-59.04
2025.08.26 19:00:00;Buy;0.04;XAUUSD;3386.86;0.04;2025.08.27 07:11:25;3379.18;-0.28;-2.11;-30.72
2025.08.26 04:00:00;Buy;0.02;XAUUSD;3383.46;0.02;2025.08.26 04:09:56;3375.2;-0.14;;-16.52
2025.08.25 18:00:00;Buy;0.01;XAUUSD;3374.45;0.01;2025.08.25 22:50:12;3366.86;-0.08;;-7.59
2025.08.25 06:00:00;Buy;0.08;XAUUSD;3364.35;0.08;2025.08.25 17:13:29;3373.79;-0.56;;75.52
2025.08.22 18:00:00;Buy;0.04;XAUUSD;3374.01;0.04;2025.08.25 01:44:53;3366.26;-0.28;-2.11;-31
2025.08.22 08:00:00;Sell;0.02;XAUUSD;3328.4;0.02;2025.08.22 16:40:41;3336.33;-0.14;;-15.86
2025.08.21 14:00:00;Sell;0.01;XAUUSD;3328.67;0.01;2025.08.21 15:02:45;3336.31;-0.08;;-7.64
2025.08.20 15:00:00;Buy;0.01;XAUUSD;3332.65;0.01;2025.08.20 15:50:44;3342.05;-0.08;;9.4
2025.08.19 18:00:01;Sell;0.08;XAUUSD;3325.63;0.08;2025.08.19 20:28:10;3315.74;-0.56;;79.12
2025.08.18 22:00:00;Sell;0.04;XAUUSD;3332.13;0.04;2025.08.19 06:06:09;3339.75;-0.28;1.15;-30.48
2025.08.18 08:00:00;Buy;0.02;XAUUSD;3357.54;0.02;2025.08.18 08:32:10;3349.9;-0.14;;-15.28
2025.08.18 03:00:00;Sell;0.01;XAUUSD;3327.07;0.01;2025.08.18 03:14:06;3334.66;-0.08;;-7.59
2025.08.14 17:00:00;Sell;0.16;XAUUSD;3344.09;0.16;2025.08.14 17:11:09;3334.58;-1.12;;152.16
2025.08.14 11:00:00;Sell;0.08;XAUUSD;3345.98;0.08;2025.08.14 12:11:40;3353.74;-0.56;;-62.08
2025.08.14 04:00:00;Buy;0.04;XAUUSD;3369.47;0.04;2025.08.14 06:02:31;3361.94;-0.28;;-30.12
2025.08.13 13:00:00;Buy;0.02;XAUUSD;3364.76;0.02;2025.08.13 15:09:05;3357.19;-0.14;;-15.14
2025.08.12 18:00:00;Sell;0.01;XAUUSD;3337.51;0.01;2025.08.12 18:17:38;3345.1;-0.08;;-7.59
2025.08.11 10:00:00;Sell;0.01;XAUUSD;3365.75;0.01;2025.08.11 12:12:58;3356.34;-0.08;;9.41
2025.08.07 21:00:00;Buy;0.01;XAUUSD;3392.41;0.01;2025.08.07 23:39:58;3401.92;-0.08;;9.51
2025.08.07 10:00:00;Buy;0.08;XAUUSD;3388.19;0.08;2025.08.07 10:51:51;3397.28;-0.56;;72.72
2025.08.06 13:00:00;Sell;0.04;XAUUSD;3358.65;0.04;2025.08.06 14:26:01;3366.52;-0.28;;-31.48
2025.08.05 18:00:00;Buy;0.02;XAUUSD;3385.4;0.02;2025.08.05 19:31:10;3377.65;-0.14;;-15.5
2025.08.05 15:00:00;Sell;0.01;XAUUSD;3351.24;0.01;2025.08.05 15:25:07;3359.19;-0.08;;-7.95
2025.08.01 16:00:00;Buy;0.02;XAUUSD;3341.44;0.02;2025.08.01 16:14:59;3350.86;-0.14;;18.84
2025.08.01 05:00:00;Sell;0.01;XAUUSD;3283.51;0.01;2025.08.01 05:14:50;3291.18;-0.08;;-7.67
2025.07.30 16:00:00;Sell;0.02;XAUUSD;3313.39;0.02;2025.07.30 16:31:37;3304;-0.14;;18.78
2025.07.29 07:00:00;Sell;0.01;XAUUSD;3312.63;0.01;2025.07.29 08:56:19;3320.19;-0.08;;-7.5600000000000005
2025.07.28 16:00:00;Sell;0.01;XAUUSD;3328.43;0.01;2025.07.28 16:47:40;3318.99;-0.08;;9.44
2025.07.24 20:00:00;Sell;0.01;XAUUSD;3367;0.01;2025.07.25 08:37:37;3357.27;-0.08;0.28;9.73
2025.07.23 19:00:00;Sell;0.02;XAUUSD;3398.07;0.02;2025.07.23 19:02:03;3388.44;-0.14;;19.26
2025.07.23 10:00:00;Buy;0.01;XAUUSD;3424.92;0.01;2025.07.23 16:00:40;3416.82;-0.08;;-8.1
2025.07.22 16:00:00;Buy;0.02;XAUUSD;3407.53;0.02;2025.07.22 16:32:33;3417.23;-0.14;;19.4
